Month/Year,Randomly Generated Audit Date,Alternate Randomly Generated Audit Date
10/01/2018,10/10/2018,10/29/2018
09/01/2018,09/05/2018,09/24/2018
08/01/2018,08/03/2018,08/21/2018
07/01/2018,07/09/2018,07/26/2018
06/01/2018,06/13/2018,06/22/2018
05/01/2018,05/17/2018,05/30/2018
04/01/2018,04/10/2018,04/25/2018
03/01/2018,03/13/2018,03/29/2018
02/01/2018,02/15/2018,02/20/2018
01/01/2018,01/16/2018,01/25/2018
12/01/2017,12/08/2017,12/19/2017
11/01/2017,11/06/2017,11/17/2017
10/01/2017,10/10/2017,10/23/2017
09/01/2017,09/06/2017,09/26/2017
08/01/2017,08/08/2017,08/31/2017
07/01/2017,07/12/2017,07/31/2017
06/01/2017,06/06/2017,06/21/2017
05/01/2017,05/08/2017,05/26/2017
04/01/2017,04/06/2017,04/24/2017
03/01/2017,03/07/2017,03/30/2017
02/01/2017,02/10/2017,02/27/2017
01/01/2017,01/10/2017,01/27/2017
12/01/2016,12/07/2016,12/21/2016
11/01/2016,11/15/2016,11/29/2016
10/01/2016,10/26/2016,10/11/2016
09/01/2016,09/27/2016,09/16/2016
08/01/2016,08/30/2016,08/12/2016
07/01/2016,07/06/2016,07/25/2016
06/01/2016,06/07/2016,06/20/2016
05/01/2016,05/26/2016,05/09/2016
04/01/2016,04/06/2016,04/26/2016
03/01/2016,03/03/2016,03/30/2016
02/01/2016,02/17/2016,02/10/2016
01/01/2016,01/05/2016,01/27/2016
12/01/2015,12/03/2015,12/21/2015
11/01/2015,11/10/2015,11/18/2015
10/01/2015,10/13/2015,10/28/2015
09/01/2015,09/08/2015,09/24/2015
08/01/2015,08/11/2015,08/27/2015
07/01/2015,07/07/2015,07/18/2015
06/01/2015,06/16/2015,06/25/2015
05/01/2015,05/12/2015,05/29/2015
04/01/2015,04/13/2015,04/23/2015
03/01/2015,03/03/2015,03/19/2015
02/01/2015,02/03/2015,02/26/2015
01/01/2015,01/13/2015,01/28/2015
12/01/2014,12/10/2014,12/29/2014
11/01/2014,11/06/2014,11/18/2014
10/01/2014,10/14/2014,10/03/2014
09/01/2014,09/02/2014,09/13/2014
08/01/2014,08/12/2014,08/21/2014
07/01/2014,07/19/2014,07/03/2014
06/01/2014,06/26/2014,06/03/2014
05/01/2014,05/06/2014,05/22/2014
04/01/2014,04/03/2014,04/28/2014
03/01/2014,03/15/2014,03/22/2014
02/01/2014,02/27/2014,02/05/2014
01/01/2014,01/17/2014,01/21/2014
12/01/2013,12/21/2013,12/19/2013
11/01/2013,11/04/2013,11/23/2013
10/01/2013,10/15/2013,10/03/2013
09/01/2013,09/14/2013,09/03/2013
08/01/2013,08/14/2013,08/22/2013
07/01/2013,07/03/2013,07/08/2013
06/01/2013,06/19/2013,06/08/2013
05/01/2013,05/16/2013,05/28/2013
04/01/2013,04/11/2013,04/02/2013
03/01/2013,03/27/2013,03/08/2013
02/01/2013,02/09/2013,02/19/2013
01/01/2013,01/11/2013,01/22/2013
12/01/2012,12/06/2012,12/19/2012
11/01/2012,11/28/2012,11/07/2012
10/01/2012,10/19/2012,10/04/2012
09/01/2012,09/04/2012,09/15/2012
08/01/2012,08/23/2012,08/07/2012
07/01/2012,07/03/2012,07/31/2012
06/01/2012,06/12/2012,06/29/2012
05/01/2012,05/19/2012,05/02/2012
04/01/2012,04/07/2012,04/30/2012
03/01/2012,03/23/2012,03/02/2012
02/01/2012,02/11/2012,02/22/2012
01/01/2012,01/28/2012,01/03/2012
12/01/2011,12/19/2011,12/07/2011
